video_title,video_thumbnail,video_publisher,video_length,video_views,video_time
Enter the Tigris // VALORANT Lunar New Year 2022,https://i.ytimg.com/vi/ruOz2i3AjYQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmTXJ4HjUTtxWf0fYhviUL9IalFg,VALORANT,0:54,976K views,1 day ago
shroud Carried this Valorant game,https://i.ytimg.com/vi/SyN7GWDWSvU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXh2CzqsNPwcHDTlSvF8PhH_igbQ,Shroud,11:22,229K views,5 days ago
THE ONLY WAY TO MAKE SINATRAA *RAGE* IN VALORANT ???,https://i.ytimg.com/vi/1PwwO4FqPqY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBPmFOa2GG0vhTt4hsGMZH04r6JSw,Sinatraa,10:54,182K views,3 days ago
Shroud should have Lost this match of Valorant..,https://i.ytimg.com/vi/NPGi4HtFLUs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_lQXrXkAFB_zSlls0nAuUM_spuw,Shroud,12:56,224K views,3 days ago
"My Rank 1 was On the Line, So I Had to Pop Off...",https://i.ytimg.com/vi/eRrro-ft7k8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBogkPK55l-X9hApRBDqANzCAkEbQ,tarik,12:00,179K views,5 days ago
Most Watched Valorant Clips Today V163,https://i.ytimg.com/vi/zBDZMyenAKg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_4rX3DfwKdx5l9JGWLtfkMBiV9A,JARSO,19:10,181K views,5 days ago
Most Watched Valorant Clips Today V165,https://i.ytimg.com/vi/TpPYDcHe11Y/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUOxoUvIGEOZ6w1HoZY7hves_hVA,JARSO,16:26,162K views,3 days ago
Leave Valorant's Guns Alone,https://i.ytimg.com/vi/IBpueEnOSEc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDBG2sK9QpvDC6Y_GBjBd1MRPm1WA,theScore esports,9:08,136K views,5 days ago
Most Watched Valorant Clips Today V164,https://i.ytimg.com/vi/3tiZJwtAxsw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAYqx8cxFq3v_AdjzSO0b5_8u7CKQ,JARSO,16:28,156K views,4 days ago
Shroud Casually getting 30 kills with Neon in Valorant.,https://i.ytimg.com/vi/oTSR5d_mHEs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAW660xX5LyWWlmJVwkVUgZDIghhw,Shroud,14:12,183K views,22 hours ago
