video_title,video_thumbnail,video_publisher,video_length,video_views,video_time
wtf is tower bro,https://i.ytimg.com/vi/a7UmNE42lB0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSi7VqbAC9DpKi32cqSExJh5CoWA,Valorant America,0:54,306K views,6 days ago
THE MOST OBLIVIOUS VALORANT PLAYER ??? | Sinatraa,https://i.ytimg.com/vi/I8F4bMxstek/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAxV7YFC7LaKUw5LKnTtoGdoD372w,Sinatraa,11:07,215K views,5 days ago
Shroud playing against the Valorant Developers..,https://i.ytimg.com/vi/0KL-UY4Vca4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB-jkyGnrC34HoGy2QBdpOkFAKwEg,Shroud,13:08,191K views,4 days ago
Most Watched Valorant Clips Today V135,https://i.ytimg.com/vi/Z3r4tVDpMXY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAf2ocLYFXmMhhwhXa6SwXLtaGkPg,JARSO,16:20,193K views,4 days ago
SINATRAA IS A DEAGLE DEMON IN VALORANT ???,https://i.ytimg.com/vi/yXzcxZaDL4w/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATruD4cRDORE96RreC0pTJKK2zuA,Sinatraa,14:21,191K views,3 days ago
“Phoenix is the worst duelist in Valorant!”,https://i.ytimg.com/vi/W7Mn8kGME8k/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3PIBG1SV_uF9E2grKISHeSbLNPQ,Whiff Watcher,0:25,336K views,4 days ago
Most Watched Valorant Clips Today V134,https://i.ytimg.com/vi/pxc8B5hujqw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCn2GioK6fdG2CGzvE5A6vUhmilBg,JARSO,16:53,160K views,5 days ago
When PROS Watch PROD VALORANT Plays..,https://i.ytimg.com/vi/W_Bhowypk3w/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAlY4FrU83p7eteuhUbfpAwYFC6jg,Valorant Updates,11:11,321K views,7 days ago
I Found My Middle School Friend in Valorant... AGAIN?! | SEN ShahZaM,https://i.ytimg.com/vi/126xnLC4H0c/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCXd0g99NjtA3k56-REXqzNHGV-Nw,ShahZaM,12:57,162K views,2 days ago
Most Watched Valorant Clips Today V136,https://i.ytimg.com/vi/JCCeZ1JBw-0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDKEjUJ5c8VWtABwwwR-ibhNqqpwg,JARSO,16:53,145K views,3 days ago
